            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2458192.500000000, A.D. 2018-Mar-15 00:00:00.0000, -9.869643783505180E-01,  9.234382307395189E-02,  3.998946405802574E-02, -1.738871807541607E-03, -1.530836162911234E-02, -6.690551886618990E-03,
2458193.500000000, A.D. 2018-Mar-16 00:00:00.0000, -9.886074888050301E-01,  7.705181405944060E-02,  3.330755924879052E-02, -1.549829508294676E-03, -1.527853205525658E-02, -6.674059277859484E-03,
2458194.500000000, A.D. 2018-Mar-17 00:00:00.0000, -9.900682580482100E-01,  6.178041354140743E-02,  2.663947419487720E-02, -1.373408539842816E-03, -1.526771492330322E-02, -6.663174872805828E-03,
2458195.500000000, A.D. 2018-Mar-18 00:00:00.0000, -9.913567640917744E-01,  4.650903946555070E-02,  1.997885000097313E-02, -1.204324836425024E-03, -1.527889328727562E-02, -6.659357617836610E-03,
2458196.500000000, A.D. 2018-Mar-19 00:00:00.0000, -9.924772362013190E-01,  3.121466958112881E-02,  1.331802499316795E-02, -1.036199835172436E-03, -1.531389105665427E-02, -6.663725085548349E-03,
2458197.500000000, A.D. 2018-Mar-20 00:00:00.0000, -9.934271007188007E-01,  1.587321114169898E-02,  6.648462210232750E-03, -8.618760100315235E-04, -1.537296497112621E-02, -6.676883507662757E-03,
2458198.500000000, A.D. 2018-Mar-21 00:00:00.0000, -9.941964399715674E-01,  4.612237103999039E-04, -3.866610065629557E-05, -6.739185484245979E-04, -1.545452107388441E-02, -6.698789659237613E-03,
2458199.500000000, A.D. 2018-Mar-22 00:00:00.0000, -9.947680157733031E-01, -1.504216687877995E-02, -6.751784804281290E-03, -4.652272483591360E-04, -1.555502323485691E-02, -6.728674347767906E-03,
2458200.500000000, A.D. 2018-Mar-23 00:00:00.0000, -9.951179194486972E-01, -3.065336819010592E-02, -1.349818262862426E-02, -2.296620133904091E-04, -1.566911022288561E-02, -6.765040292090756E-03,
2458201.500000000, A.D. 2018-Mar-24 00:00:00.0000, -9.952168198823887E-01, -4.638263144979324E-02, -2.028331253740513E-02,  3.739665093242072E-05, -1.578989267225464E-02, -6.805729621580193E-03,
