            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2458155.500000000, A.D. 2018-Feb-06 00:00:00.0000, -1.375966048799012E+00, -7.508328860894465E-01, -3.072448564896377E-01,  7.630017445498030E-03, -9.798229149836005E-03, -4.700159088371193E-03,
2458156.500000000, A.D. 2018-Feb-07 00:00:00.0000, -1.368286140525968E+00, -7.606037232608823E-01, -3.119337981448428E-01,  7.729739377880893E-03, -9.743308507688167E-03, -4.677659931496631E-03,
2458157.500000000, A.D. 2018-Feb-08 00:00:00.0000, -1.360506690881794E+00, -7.703192297626988E-01, -3.166000476974562E-01,  7.829098882158030E-03, -9.687567821465553E-03, -4.654774849208849E-03,
2458158.500000000, A.D. 2018-Feb-09 00:00:00.0000, -1.352628066191442E+00, -7.799785856730881E-01, -3.212432191786883E-01,  7.928088142145961E-03, -9.631007356596305E-03, -4.631503756348940E-03,
2458159.500000000, A.D. 2018-Feb-10 00:00:00.0000, -1.344650640626001E+00, -7.895809713493466E-01, -3.258629265363205E-01,  8.026699295268887E-03, -9.573627418630005E-03, -4.607846585128768E-03,
2458160.500000000, A.D. 2018-Feb-11 00:00:00.0000, -1.336574796249467E+00, -7.991255674777821E-01, -3.304587836566344E-01,  8.124924429125147E-03, -9.515428353171056E-03, -4.583803283004577E-03,
2458161.500000000, A.D. 2018-Feb-12 00:00:00.0000, -1.328400923066805E+00, -8.086115551249832E-01, -3.350304043863205E-01,  8.222755580997687E-03, -9.456410553501712E-03, -4.559373816177576E-03,
2458162.500000000, A.D. 2018-Feb-13 00:00:00.0000, -1.320129419072350E+00, -8.180381157894109E-01, -3.395774025542829E-01,  8.320184735031376E-03, -9.396574471051787E-03, -4.534558173403865E-03,
2458163.500000000, A.D. 2018-Feb-14 00:00:00.0000, -1.311760690297272E+00, -8.274044314536001E-01, -3.440993919941731E-01,  8.417203821067726E-03, -9.335920621820074E-03, -4.509356368522678E-03,
2458164.500000000, A.D. 2018-Feb-15 00:00:00.0000, -1.303295150856068E+00, -8.367096846381183E-01, -3.485959865682873E-01,  8.513804722323989E-03, -9.274449583325026E-03, -4.483768442853817E-03,
2458165.500000000, A.D. 2018-Feb-16 00:00:00.0000, -1.294733222993218E+00, -8.459530584573628E-01, -3.530668001922943E-01,  8.609979285582013E-03, -9.212161985164309E-03, -4.457794465880017E-03,
2458166.500000000, A.D. 2018-Feb-17 00:00:00.0000, -1.286075337130683E+00, -8.551337366759804E-01, -3.575114468597564E-01,  8.705719320840313E-03, -9.149058504891854E-03, -4.431434533132560E-03,
