            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2458144.500000000, A.D. 2018-Jan-26 00:00:00.0000, -5.749016232902215E-01,  7.333464993783211E-01,  3.179134593541631E-01, -1.424106420155137E-02, -9.279615868382940E-03, -4.022780903607744E-03,
2458145.500000000, A.D. 2018-Jan-27 00:00:00.0000, -5.890523226986120E-01,  7.239543806259041E-01,  3.138418193843460E-01, -1.405966986710268E-02, -9.504081223094187E-03, -4.120264043163537E-03,
2458146.500000000, A.D. 2018-Jan-28 00:00:00.0000, -6.030196582260023E-01,  7.143394162297748E-01,  3.096734026040036E-01, -1.387436056492021E-02, -9.725309768031246E-03, -4.216333608201830E-03,
2458147.500000000, A.D. 2018-Jan-29 00:00:00.0000, -6.167997835955974E-01,  7.045048299294115E-01,  3.054096231746955E-01, -1.368526943759915E-02, -9.943332690916998E-03, -4.310990558987879E-03,
2458148.500000000, A.D. 2018-Jan-30 00:00:00.0000, -6.303889702420672E-01,  6.944538005435325E-01,  3.010518882089627E-01, -1.349249614177127E-02, -1.015820691778160E-02, -4.404247598365568E-03,
2458149.500000000, A.D. 2018-Jan-31 00:00:00.0000, -6.437835667728855E-01,  6.841894429470976E-01,  2.966015879383030E-01, -1.329609380477657E-02, -1.037000023506535E-02, -4.496124758185110E-03,
2458150.500000000, A.D. 2018-Feb-01 00:00:00.0000, -6.569799496859100E-01,  6.737148075648778E-01,  2.920600918981791E-01, -1.309606558445387E-02, -1.057877001008616E-02, -4.586642022164004E-03,
2458151.500000000, A.D. 2018-Feb-02 00:00:00.0000, -6.699744771723551E-01,  6.630329014618376E-01,  2.874287530600430E-01, -1.289237436656967E-02, -1.078454270429216E-02, -4.675811313995882E-03,
2458152.500000000, A.D. 2018-Feb-03 00:00:00.0000, -6.827634582109159E-01,  6.521467261158211E-01,  2.827089190042950E-01, -1.268496260033170E-02, -1.098730206652232E-02, -4.763630884189605E-03,
2458153.500000000, A.D. 2018-Feb-04 00:00:00.0000, -6.953431433015332E-01,  6.410593209617697E-01,  2.779019466719718E-01, -1.247377425415949E-02, -1.118698942632271E-02, -4.850083880352871E-03,
2458154.500000000, A.D. 2018-Feb-05 00:00:00.0000, -7.077097348537982E-01,  6.297738015097359E-01,  2.730092165479436E-01, -1.225877119112740E-02, -1.138351340593386E-02, -4.935140678935274E-03,
2458155.500000000, A.D. 2018-Feb-06 00:00:00.0000, -7.198594095946631E-01,  6.182933854742063E-01,  2.680321433931787E-01, -1.203994072642494E-02, -1.157676317148075E-02, -5.018763099629286E-03,
2458156.500000000, A.D. 2018-Feb-07 00:00:00.0000, -7.317883445332547E-01,  6.066214061040517E-01,  2.629721826451343E-01, -1.181729565521089E-02, -1.176662014299631E-02, -5.100908593560758E-03,
2458157.500000000, A.D. 2018-Feb-08 00:00:00.0000, -7.434927405580285E-01,  5.947613156791963E-01,  2.578308331347218E-01, -1.159087007177814E-02, -1.195296578138929E-02, -5.181533320576205E-03,
2458158.500000000, A.D. 2018-Feb-09 00:00:00.0000, -7.549688410726816E-01,  5.827166832714014E-01,  2.526096374059439E-01, -1.136071404997265E-02, -1.213568539369276E-02, -5.260593880262839E-03,
